Section,Category,Item,Detail
COMPETITOR ANALYSIS,Direct Competitors,Girla 3-Piece Set,"Brand: Girla | Price: $10.98 | Rating: 4.6/5 (Amazon.ca) | Platform: Amazon.ca | Features: Danish whisk + dough scraper + lame scoring tool + 10 blades | Wooden handles, stainless steel | Positioning: Budget 3-piece kit"
COMPETITOR ANALYSIS,Direct Competitors,MTFATBEST 4-Piece Set,"Brand: MTFATBEST | Price: ~$10-12 | Rating: 4.5/5 (est.) | Platform: Amazon | Features: Whisk + lame + scraper + cleaning brush + 5 blades | Positioning: 4-piece value set with cleaning brush"
COMPETITOR ANALYSIS,Direct Competitors,EROIR Whisk + Lame Set,"Brand: EROIR | Price: $14.97 | Rating: 4.6/5 (1410 reviews) | Platform: Amazon | Features: 13-inch whisk + lame + 10 razor blades + leather cover | PFOA-free food-grade materials | Positioning: Premium materials + safety focus"
COMPETITOR ANALYSIS,Direct Competitors,RoEsha 3-Piece Set,"Brand: RoEsha | Price: ~$12-15 | Rating: 4.5/5 (est.) | Platform: Amazon | Features: Whisk + bench scraper + lame + 5 blades + leather protector | Stainless steel + wooden handle | Positioning: Mid-range 3-piece set"
COMPETITOR ANALYSIS,Direct Competitors,RobertaGene 3-Piece Set,"Brand: RobertaGene | Price: ~$15-18 | Platform: robertagene.com | Features: Whisk + bench scraper + lame with 5 blades | Beechwood handles | Positioning: Artisanal/boutique brand"
COMPETITOR ANALYSIS,Direct Competitors,Grayburn NZ 2-Piece,"Brand: Grayburn NZ | Price: $22 NZD (~$13 USD) | Platform: grayburnnz.com | Features: Whisk + lame + spare blades | Positioning: Minimalist 2-piece set"
COMPETITOR ANALYSIS,Direct Competitors,InstaGrandma Kitchen Whisk+Lame,"Brand: Edjettiby | Price: ~$15-18 | Platform: instagrandmaskitchen.com | Features: 13.5-inch whisk + lame + 5 blades + leather sheath | Positioning: Specialty kitchen brand"
COMPETITOR ANALYSIS,Direct Competitors,Walmart 3-Piece Set,"Brand: Generic/Unbranded | Price: ~$12-15 | Rating: 4.3/5 (est.) | Platform: Walmart | Features: Whisk + scoring tool + scraper + 4 blades + blade sleeve | Positioning: Mass-market retail"
COMPETITOR ANALYSIS,Indirect Competitors (Bigger Kits),La Couplet Essentials Set,"Brand: La Couplet | Price: ~$35-45 | Platform: lacouplet.com | Features: 6 pieces (whisk + lame + scraper + brush + wand + recipe) | Beechwood + stainless steel | Cotton bag | Positioning: Premium gift set with extras"
COMPETITOR ANALYSIS,Indirect Competitors (Bigger Kits),Nordic Ware Simply Sourdough 9pc,"Brand: Nordic Ware | Price: ~$45-60 | Platform: nordicware.com | Features: Baking pan + lid + whisk + lame + jar + sling + scraper + liner + guide | Positioning: Complete baking system with pan"
COMPETITOR ANALYSIS,Indirect Competitors (Bigger Kits),Lehman's 9-Piece Kit,"Brand: Lehman's | Price: ~$40-50 | Platform: lehmans.com | Features: Pan + lid + jar + lame + whisk + scraper + mat + liner + manual | Made in USA (pan) | Positioning: Beginner complete kit"
COMPETITOR ANALYSIS,Indirect Competitors (Bigger Kits),Mrs. Sourdough Ultimate Kit,"Brand: Mrs. Sourdough | Price: ~$49.97 | Platform: mrssourdough.com | Features: Banneton + cutter + whisk + lame + scraper + FREE starter + guides + course | Positioning: All-in-one system with education"
COMPETITOR ANALYSIS,Indirect Competitors (Bigger Kits),Cultures for Health Bundle,"Brand: Cultures for Health | Price: ~$50 | Platform: culturesforhealth.com | Features: Starter + lame + scale + scraper + muslin + jar + thermometer + whisk + baskets | Positioning: Complete fermentation + baking system"
COMPETITOR ANALYSIS,Indirect Competitors (Bigger Kits),Flour+Water Ultimate Baker Set,"Brand: Flour+Water Baking | Price: ~$100+ | Platform: flourandwaterbaking.com | Features: Starter + 2 bannetons + brush + jar + spatula + whisk + scrapers + lame + bag + scoop + oil | Positioning: Premium all-inclusive for serious bakers"
COMPETITOR ANALYSIS,Indirect Competitors (Bigger Kits),Abioto Artisan+ Combo Kit,"Brand: Abioto Baking | Price: ~$60-80 | Platform: abiotobaking.com | Features: Bannetons + jar + whisk + mat + slings + lame + scrapers | Positioning: Beginner-friendly complete kit"
COMPETITOR ANALYSIS,Value Comparison,Harry Corner Bundle vs. Market,"Harry Corner: $10.99 for whisk + lame (2 pieces) | Competitor avg for 2-piece whisk+lame: $13-22 | Harry Corner is 15-50% cheaper than direct 2-piece competitors | Strongest value at the budget end of the market"
COMPETITOR ANALYSIS,Value Comparison,Price-Per-Tool Analysis,"Harry Corner: $5.50/tool | EROIR: $7.49/tool | Girla 3pc: $3.66/tool (but includes scraper) | Nordic Ware 9pc: $5-7/tool | Mrs. Sourdough: $10/tool (includes starter + education)"
COMPETITOR ANALYSIS,Key Differentiators,Harry Corner Advantages,"1) Lowest price for whisk+lame combo at $10.99 | 2) Simplified bundle — no filler items | 3) Wooden handle aesthetic appeals to artisan crowd | 4) Gift-ready positioning without markup | 5) Low barrier to entry for sourdough curious"
COMPETITOR ANALYSIS,Key Differentiators,Harry Corner Weaknesses,"1) No blade protection/leather cover (competitors include this) | 2) No scraper included (competitors often bundle 3 items) | 3) Less brand recognition than EROIR/Nordic Ware | 4) No recipe/instructions included | 5) Fewer reviews/social proof"
COMPETITOR ANALYSIS,Key Differentiators,Market Opportunity,"Gap: Most affordable whisk+lame-only sets are rare — most competitors bundle 3+ items at higher price points. Harry Corner fills the minimalist budget niche perfectly."
