Keyword,Category,Est Monthly Search Volume,Competition,Competitor Ranking,Search Intent,Relevance (1-10),Intent (1-10),Rankability (1-10),Traffic Potential (1-10),Conversion Potential (1-10),Total Score (/70),Tier,Recommendation
danish dough whisk,Exact Match,40500,High,"OYV #1, Brod & Taylor #2, Coson Home #3 (Amazon)",Transaction/Commercial,10,9,3,9,9,40,TIER 2 — SECONDARY,Include in product description + FAQ + image alt text — too competitive for new site to rank #1
danish whisk,Exact Match,22200,High,"ORBLUE #1, Wovilon #2 (Amazon)",Transaction/Commercial,9,9,3,8,8,37,TIER 2 — SECONDARY,Include in product description + supporting content
dough whisk,Exact Match,18100,High,"OYV #1, Brod & Taylor #2 (Amazon)",Transaction/Commercial,9,9,4,8,8,38,TIER 2 — SECONDARY,Include in product description + supporting content
bread dough whisk,Phrase Match,12100,Medium,"Multiple competitors on Amazon",Transaction/Commercial,9,9,5,8,8,39,TIER 2 — SECONDARY,Target in product description + how-to guides
sourdough whisk,Phrase Match,9900,Medium,"Breadtopia, OYV, multiple Amazon",Transaction/Commercial,10,9,5,8,9,41,TIER 2 — SECONDARY,Target in product description + sourdough recipe content
best danish dough whisk,Phrase Match,8100,High,"Review sites dominate page 1",Commercial Investigation,10,10,3,8,8,39,TIER 2 — SECONDARY,Create comparison/review blog post to compete
best dough whisk for bread,Phrase Match,5400,Medium,"JayArr Bread #1, review sites",Commercial Investigation,9,10,5,7,8,39,TIER 2 — SECONDARY,Create comparison/review blog post
danish dough whisk for sourdough,Long Tail,3600,Medium,"Review sites, Amazon listings",Transaction/Commercial,10,10,6,7,9,42,TIER 2 — SECONDARY,Target in product description + sourdough how-to content
danish dough whisk review,Long Tail,2900,Medium,"JayArr Bread, review sites",Commercial Investigation,10,10,5,7,8,40,TIER 2 — SECONDARY,Create detailed product review page
dutch dough whisk,Phrase Match,2400,Low,"ORBLUE listing on Walmart/Amazon",Transaction/Commercial,8,9,7,6,8,38,TIER 2 — SECONDARY,Include in product description as alternative name
danish dough whisk set,Long Tail,2400,Low,"Walmart listings",Transaction,8,10,7,6,9,40,TIER 2 — SECONDARY,If offering a bundle/set this is key
danish dough whisk 2 pack,Long Tail,1900,Low,"Coson Home dominates",Transaction,7,10,7,5,9,38,TIER 2 — SECONDARY,Include in product description for bundle offering
bread whisk,Phrase Match,6600,Medium,"Multiple Amazon listings",Transaction/Commercial,8,8,5,7,7,35,TIER 3 — SUPPORTING,Use in blog content + how-to guides
sourdough bread tools,Broad Match,4400,Medium,"Multiple review sites",Informational/Commercial,7,8,5,6,7,33,TIER 3 — SUPPORTING,Create blog post: Essential sourdough bread tools
